source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0009617,response to bacterium,2.413068091834126e-09,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from a bacterium."" [GOC:hb]",728,33,14,21026,0.42424242424242425,0.019230769230769232,query_1,['GO:0051707']
GO:BP,GO:0051239,regulation of multicellular organismal process,1.3247108865101245e-07,True,"""Any process that modulates the frequency, rate or extent of a multicellular organismal process, the processes pertinent to the function of a multicellular organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai, GOC:dph, GOC:tb]",2956,33,21,21026,0.6363636363636364,0.007104194857916103,query_1,"['GO:0032501', 'GO:0050789']"
GO:BP,GO:0006955,immune response,2.950101097524489e-07,True,"""Any immune system process that functions in the calibrated response of an organism to a potential internal or invasive threat."" [GO_REF:0000022, GOC:add]",2070,33,18,21026,0.5454545454545454,0.008695652173913044,query_1,"['GO:0002376', 'GO:0050896']"
GO:BP,GO:0042221,response to chemical,3.3727319524802384e-07,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:jl]",3909,33,23,21026,0.696969696969697,0.00588385776413405,query_1,['GO:0050896']
GO:BP,GO:0006950,response to stress,4.1501082882751693e-07,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]",3948,33,23,21026,0.696969696969697,0.005825734549138805,query_1,['GO:0050896']
GO:BP,GO:0001775,cell activation,8.556581967865256e-07,True,"""A multicellular organismal process by which exposure to an activating factor such as a cellular or soluble ligand results in a change in the morphology or behavior of a cell."" [GOC:mgi_curators]",1132,33,14,21026,0.42424242424242425,0.012367491166077738,query_1,"['GO:0009987', 'GO:0032501']"
GO:BP,GO:0048518,positive regulation of biological process,1.5359133161679633e-06,True,"""Any process that activates or increases the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]",6264,33,27,21026,0.8181818181818182,0.004310344827586207,query_1,"['GO:0008150', 'GO:0050789']"
GO:BP,GO:0045321,leukocyte activation,1.8759913797994088e-06,True,"""A change in morphology and behavior of a leukocyte resulting from exposure to a specific antigen, mitogen, cytokine, cellular ligand, or soluble factor."" [GOC:add]",980,33,13,21026,0.3939393939393939,0.013265306122448979,query_1,"['GO:0001775', 'GO:0002376']"
GO:BP,GO:0001817,regulation of cytokine production,1.8920484626929626e-06,True,"""Any process that modulates the frequency, rate, or extent of production of a cytokine."" [GOC:add, ISBN:0781735149]",781,33,12,21026,0.36363636363636365,0.015364916773367477,query_1,"['GO:0001816', 'GO:0010468', 'GO:0051239']"
GO:BP,GO:0060326,cell chemotaxis,2.0500614334931505e-06,True,"""The directed movement of a motile cell guided by a specific chemical concentration gradient. Movement may be towards a higher concentration (positive chemotaxis) or towards a lower concentration (negative chemotaxis)."" [GOC:dph]",323,33,9,21026,0.2727272727272727,0.02786377708978328,query_1,"['GO:0006935', 'GO:0016477', 'GO:0070887']"
GO:BP,GO:0001816,cytokine production,2.0635795307105955e-06,True,"""The appearance of a cytokine due to biosynthesis or secretion following a cellular stimulus, resulting in an increase in its intracellular or extracellular levels."" [GOC:add, ISBN:0781735149]",787,33,12,21026,0.36363636363636365,0.015247776365946633,query_1,"['GO:0010467', 'GO:0032501']"
GO:BP,GO:0006935,chemotaxis,2.6806490644679348e-06,True,"""The directed movement of a motile cell or organism, or the directed growth of a cell guided by a specific chemical concentration gradient. Movement may be towards a higher concentration (positive chemotaxis) or towards a lower concentration (negative chemotaxis)."" [ISBN:0198506732]",467,33,10,21026,0.30303030303030304,0.021413276231263382,query_1,"['GO:0042221', 'GO:0042330']"
GO:BP,GO:0042330,taxis,2.7931989233094226e-06,True,"""The directed movement of a motile cell or organism in response to an external stimulus."" [GOC:jl, ISBN:0192801023]",469,33,10,21026,0.30303030303030304,0.021321961620469083,query_1,"['GO:0009605', 'GO:0040011']"
GO:BP,GO:0032496,response to lipopolysaccharide,3.1321706639443217e-06,True,"""Any process that results in a change in state or activity of an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a lipopolysaccharide stimulus; lipopolysaccharide is a major component of the cell wall of gram-negative bacteria."" [GOC:add, ISBN:0721601464]",339,33,9,21026,0.2727272727272727,0.02654867256637168,query_1,"['GO:0002237', 'GO:0033993', 'GO:1901700']"
GO:BP,GO:0009605,response to external stimulus,3.6929737065613264e-06,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external stimulus."" [GOC:hb]",2415,33,18,21026,0.5454545454545454,0.007453416149068323,query_1,['GO:0050896']
GO:BP,GO:0048522,positive regulation of cellular process,3.823884013597603e-06,True,"""Any process that activates or increases the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:jid]",5920,33,26,21026,0.7878787878787878,0.004391891891891892,query_1,"['GO:0009987', 'GO:0048518', 'GO:0050794']"
GO:BP,GO:0001819,positive regulation of cytokine production,4.600360458895524e-06,True,"""Any process that activates or increases the frequency, rate or extent of production of a cytokine."" [GOC:add, ISBN:0781735149]",494,33,10,21026,0.30303030303030304,0.020242914979757085,query_1,"['GO:0001816', 'GO:0001817', 'GO:0010628', 'GO:0051240']"
GO:BP,GO:0002237,response to molecule of bacterial origin,4.923778335145646e-06,True,"""Any process that results in a change in state or activity of an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus by molecules of bacterial origin such as peptides derived from bacterial flagellin."" [GOC:rl, GOC:sm]",357,33,9,21026,0.2727272727272727,0.025210084033613446,query_1,"['GO:0009617', 'GO:0043207']"
GO:BP,GO:0009893,positive regulation of metabolic process,5.498593994578519e-06,True,"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."" [GOC:go_curators]",3597,33,21,21026,0.6363636363636364,0.005838198498748957,query_1,"['GO:0008152', 'GO:0019222', 'GO:0048522']"
GO:BP,GO:0030593,neutrophil chemotaxis,6.383445273670309e-06,True,"""The directed movement of a neutrophil cell, the most numerous polymorphonuclear leukocyte found in the blood, in response to an external stimulus, usually an infection or wounding."" [GOC:jl, ISBN:0198506732]",85,33,6,21026,0.18181818181818182,0.07058823529411765,query_1,"['GO:0071621', 'GO:1990266']"
GO:BP,GO:0002376,immune system process,7.24546206893929e-06,True,"""Any process involved in the development or functioning of the immune system, an organismal system for calibrated responses to potential internal or invasive threats."" [GO_REF:0000022, GOC:add]",2871,33,19,21026,0.5757575757575758,0.0066179031696273075,query_1,['GO:0008150']
GO:BP,GO:0002684,positive regulation of immune system process,7.523359899408082e-06,True,"""Any process that activates or increases the frequency, rate, or extent of an immune system process."" [GOC:add]",1099,33,13,21026,0.3939393939393939,0.011828935395814377,query_1,"['GO:0002376', 'GO:0002682', 'GO:0048518']"
GO:BP,GO:0010604,positive regulation of macromolecule metabolic process,8.99376713838428e-06,True,"""Any process that increases the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]",3288,33,20,21026,0.6060606060606061,0.006082725060827251,query_1,"['GO:0009893', 'GO:0043170', 'GO:0060255']"
GO:BP,GO:0051716,cellular response to stimulus,9.23129105772073e-06,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus by a cell and ends with a change in state or activity or the cell."" [GOC:bf, GOC:jl]",7376,33,28,21026,0.8484848484848485,0.003796095444685466,query_1,"['GO:0009987', 'GO:0050896']"
GO:BP,GO:0033993,response to lipid,1.3525092524910954e-05,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a lipid stimulus."" [GOC:sl]",930,33,12,21026,0.36363636363636365,0.012903225806451613,query_1,['GO:0042221']
GO:BP,GO:0050896,response to stimulus,1.622639649734171e-05,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."" [GOC:ai, GOC:bf]",8999,33,30,21026,0.9090909090909091,0.00333370374486054,query_1,['GO:0008150']
GO:BP,GO:1990266,neutrophil migration,2.8784014978133413e-05,True,"""The movement of a neutrophil within or between different tissues and organs of the body."" [PMID:1826836]",109,33,6,21026,0.18181818181818182,0.05504587155963303,query_1,['GO:0097530']
GO:BP,GO:0048870,cell motility,3.52419449904378e-05,True,"""Any process involved in the controlled self-propelled movement of a cell that results in translocation of the cell from one place to another."" [GOC:dgh, GOC:dph, GOC:isa_complete, GOC:mlg]",1793,33,15,21026,0.45454545454545453,0.008365867261572783,query_1,['GO:0009987']
GO:BP,GO:0040011,locomotion,3.688833741848302e-05,True,"""Self-propelled movement of a cell or organism from one location to another."" [GOC:dgh]",1255,33,13,21026,0.3939393939393939,0.010358565737051793,query_1,['GO:0008150']
GO:BP,GO:0016477,cell migration,4.300487296449644e-05,True,"""The controlled self-propelled movement of a cell from one site to a destination guided by molecular cues."" [GOC:cjm, GOC:dph, GOC:ems, GOC:pf, Wikipedia:Cell_migration]",1534,33,14,21026,0.42424242424242425,0.009126466753585397,query_1,['GO:0048870']
GO:BP,GO:0007165,signal transduction,4.401969493651022e-05,True,"""The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."" [GOC:go_curators, GOC:mtg_signaling_feb11]",6002,33,25,21026,0.7575757575757576,0.0041652782405864714,query_1,"['GO:0007154', 'GO:0009987', 'GO:0023052', 'GO:0050794', 'GO:0051716']"
GO:BP,GO:0007166,cell surface receptor signaling pathway,4.435061131519926e-05,True,"""The series of molecular signals initiated by an extracellular ligand binding to a receptor located on the cell surface. The pathway ends with regulation of a downstream cellular process, e.g. transcription."" [GOC:signaling]",2819,33,18,21026,0.5454545454545454,0.006385242993969493,query_1,['GO:0007165']
GO:BP,GO:0042742,defense response to bacterium,6.029146449672701e-05,True,"""Reactions triggered in response to the presence of a bacterium that act to protect the cell or organism."" [GOC:jl]",332,33,8,21026,0.24242424242424243,0.024096385542168676,query_1,"['GO:0009617', 'GO:0098542']"
GO:BP,GO:0002682,regulation of immune system process,6.30089790936178e-05,True,"""Any process that modulates the frequency, rate, or extent of an immune system process."" [GOC:add]",1581,33,14,21026,0.42424242424242425,0.008855154965211892,query_1,"['GO:0002376', 'GO:0050789']"
GO:BP,GO:0070887,cellular response to chemical stimulus,6.555266782827137e-05,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:mah]",2192,33,16,21026,0.48484848484848486,0.0072992700729927005,query_1,"['GO:0042221', 'GO:0051716']"
GO:BP,GO:0051707,response to other organism,6.87743742617838e-05,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from another living organism."" [GOC:ai]",1592,33,14,21026,0.42424242424242425,0.008793969849246231,query_1,"['GO:0043207', 'GO:0044419']"
GO:BP,GO:0043207,response to external biotic stimulus,7.042803513938939e-05,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external biotic stimulus, an external stimulus caused by, or produced by living things."" [GOC:go_curators]",1595,33,14,21026,0.42424242424242425,0.00877742946708464,query_1,"['GO:0009605', 'GO:0009607']"
GO:BP,GO:0051241,negative regulation of multicellular organismal process,7.641428637339061e-05,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of an organismal process, the processes pertinent to the function of an organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai]",1087,33,12,21026,0.36363636363636365,0.011039558417663294,query_1,"['GO:0032501', 'GO:0048519', 'GO:0051239']"
GO:BP,GO:0071621,granulocyte chemotaxis,7.908723732024041e-05,True,"""The movement of a granulocyte in response to an external stimulus."" [GOC:rph]",129,33,6,21026,0.18181818181818182,0.046511627906976744,query_1,"['GO:0030595', 'GO:0097530']"
GO:MF,GO:0038023,signaling receptor activity,8.510574601008519e-05,True,"""Receiving a signal and transmitting it in the cell to initiate a change in cell activity. A signal is a physical entity or change in state that is used to transfer information in order to trigger a response."" [GOC:bf, GOC:signaling]",2053,33,15,20246,0.45454545454545453,0.007306380905991232,query_1,['GO:0060089']
GO:MF,GO:0060089,molecular transducer activity,8.510574601008519e-05,True,"""A compound molecular function in which an effector function is controlled by one or more regulatory components."" [GOC:dos, GOC:pdt]",2053,33,15,20246,0.45454545454545453,0.007306380905991232,query_1,['GO:0003674']
GO:BP,GO:0009607,response to biotic stimulus,9.54847069309102e-05,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a biotic stimulus, a stimulus caused or produced by a living organism."" [GOC:hb]",1634,33,14,21026,0.42424242424242425,0.008567931456548347,query_1,['GO:0050896']
GO:BP,GO:0051240,positive regulation of multicellular organismal process,0.00012275275243596722,True,"""Any process that activates or increases the frequency, rate or extent of an organismal process, any of the processes pertinent to the function of an organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai]",1667,33,14,21026,0.42424242424242425,0.008398320335932814,query_1,"['GO:0032501', 'GO:0048518', 'GO:0051239']"
GO:BP,GO:1901700,response to oxygen-containing compound,0.00012461331962380893,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an oxygen-containing compound stimulus."" [GOC:pr, GOC:TermGenie]",1669,33,14,21026,0.42424242424242425,0.008388256440982624,query_1,['GO:0042221']
GO:BP,GO:0002252,immune effector process,0.00018991007941228835,True,"""Any process of the immune system that executes a component of an immune response. An effector immune process takes place after its activation."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",732,33,10,21026,0.30303030303030304,0.01366120218579235,query_1,['GO:0002376']
GO:BP,GO:0050776,regulation of immune response,0.00019567657473374268,True,"""Any process that modulates the frequency, rate or extent of the immune response, the immunological reaction of an organism to an immunogenic stimulus."" [GOC:ai]",947,33,11,21026,0.3333333333333333,0.011615628299894404,query_1,"['GO:0002682', 'GO:0006955', 'GO:0048583']"
GO:BP,GO:0044419,biological process involved in interspecies interaction between organisms,0.0002402658625779186,True,"""Any process evolved to enable an interaction with an organism of a different species."" [GOC:cc]",1759,33,14,21026,0.42424242424242425,0.007959067652075043,query_1,['GO:0008150']
GO:BP,GO:0010628,positive regulation of gene expression,0.0002516655492459797,True,"""Any process that increases the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product (protein or RNA)."" [GOC:txnOH-2018]",1212,33,12,21026,0.36363636363636365,0.009900990099009901,query_1,"['GO:0010467', 'GO:0010468', 'GO:0010557']"
GO:BP,GO:0097530,granulocyte migration,0.00025455603661507986,True,"""The movement of a granulocyte within or between different tissues and organs of the body."" [GOC:cvs, PMID:24163421, PMID:24193336]",157,33,6,21026,0.18181818181818182,0.03821656050955414,query_1,['GO:0097529']
GO:BP,GO:0023052,signaling,0.0002644281972231165,True,"""The entirety of a process in which information is transmitted within a biological system. This process begins with an active signal and ends when a cellular response has been triggered."" [GOC:mtg_signal, GOC:mtg_signaling_feb11, GOC:signaling]",6515,33,25,21026,0.7575757575757576,0.003837298541826554,query_1,['GO:0050789']
GO:BP,GO:0007154,cell communication,0.00028730435736872386,True,"""Any process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:mah]",6540,33,25,21026,0.7575757575757576,0.00382262996941896,query_1,['GO:0009987']
GO:BP,GO:0042110,T cell activation,0.00032941942612554003,True,"""The change in morphology and behavior of a mature or immature T cell resulting from exposure to a mitogen, cytokine, chemokine, cellular ligand, or an antigen for which it is specific."" [GOC:mgi_curators, ISBN:0781735149]",582,33,9,21026,0.2727272727272727,0.015463917525773196,query_1,['GO:0046649']
CORUM,CORUM:7319,CLEC4E-FCER1G complex,0.0004219436318630545,True,CLEC4E-FCER1G complex,2,7,2,3383,0.2857142857142857,1.0,query_1,['CORUM:0000000']
GO:BP,GO:0006952,defense response,0.0004583837275028018,True,"""Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."" [GOC:go_curators]",1853,33,14,21026,0.42424242424242425,0.007555315704263357,query_1,['GO:0006950']
GO:BP,GO:0046649,lymphocyte activation,0.0005081411542222083,True,"""A change in morphology and behavior of a lymphocyte resulting from exposure to a specific antigen, mitogen, cytokine, chemokine, cellular ligand, or soluble factor."" [GOC:mgi_curators, ISBN:0781735149]",814,33,10,21026,0.30303030303030304,0.012285012285012284,query_1,['GO:0045321']
GO:BP,GO:0032501,multicellular organismal process,0.0005107664535917301,True,"""Any biological process, occurring at the level of a multicellular organism, pertinent to its function."" [GOC:curators, GOC:dph, GOC:isa_complete, GOC:tb]",7322,33,26,21026,0.7878787878787878,0.0035509423654739142,query_1,['GO:0008150']
GO:BP,GO:0030098,lymphocyte differentiation,0.0005403447215149924,True,"""The process in which a relatively unspecialized precursor cell acquires specialized features of a lymphocyte. A lymphocyte is a leukocyte commonly found in the blood and lymph that has the characteristics of a large nucleus, a neutral staining cytoplasm, and prominent heterochromatin."" [CL:0000542, GOC:go_curators]",442,33,8,21026,0.24242424242424243,0.01809954751131222,query_1,"['GO:0046649', 'GO:1903131']"
GO:BP,GO:0035556,intracellular signal transduction,0.0006914618328426133,True,"""The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."" [GOC:bf, GOC:jl, GOC:signaling, ISBN:3527303782]",2965,33,17,21026,0.5151515151515151,0.005733558178752108,query_1,['GO:0007165']
GO:BP,GO:0010557,positive regulation of macromolecule biosynthetic process,0.000692453751753651,True,"""Any process that increases the rate, frequency or extent of the chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]",2593,33,16,21026,0.48484848484848486,0.006170458927882761,query_1,"['GO:0009059', 'GO:0009891', 'GO:0010556', 'GO:0010604']"
GO:BP,GO:0002521,leukocyte differentiation,0.0006954578864741429,True,"""The process in which a relatively unspecialized hemopoietic precursor cell acquires the specialized features of a leukocyte. A leukocyte is an achromatic cell of the myeloid or lymphoid lineages capable of ameboid movement, found in blood or other tissue."" [CL:0000738, GOC:add, PMID:16551264]",636,33,9,21026,0.2727272727272727,0.014150943396226415,query_1,"['GO:0030097', 'GO:0030154']"
REAC,REAC:R-HSA-449147,Signaling by Interleukins,0.0008108356626509889,True,Signaling by Interleukins,476,29,9,11004,0.3103448275862069,0.018907563025210083,query_1,['REAC:R-HSA-1280215']
GO:BP,GO:0002366,leukocyte activation involved in immune response,0.0008535186100836354,True,"""A change in morphology and behavior of a leukocyte resulting from exposure to a specific antigen, mitogen, cytokine, cellular ligand, or soluble factor, leading to the initiation or perpetuation of an immune response."" [GOC:add, ISBN:0781735149]",316,33,7,21026,0.21212121212121213,0.022151898734177215,query_1,"['GO:0002263', 'GO:0045321']"
GO:BP,GO:0030217,T cell differentiation,0.0009094769858423722,True,"""The process in which a precursor cell type acquires characteristics of a more mature T-cell. A T cell is a type of lymphocyte whose definin characteristic is the expression of a T cell receptor complex."" [GO_REF:0000022, GOC:jid, GOC:mah]",319,33,7,21026,0.21212121212121213,0.0219435736677116,query_1,"['GO:0030098', 'GO:0042110']"
GO:BP,GO:0002263,cell activation involved in immune response,0.0009288026423674742,True,"""A change in the morphology or behavior of a cell resulting from exposure to an activating factor such as a cellular or soluble ligand, leading to the initiation or perpetuation of an immune response."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",320,33,7,21026,0.21212121212121213,0.021875,query_1,"['GO:0001775', 'GO:0002252', 'GO:0006955']"
GO:MF,GO:0005102,signaling receptor binding,0.0010245604664172161,True,"""Binding to one or more specific sites on a receptor molecule, a macromolecule that undergoes combination with a hormone, neurotransmitter, drug or intracellular messenger to initiate a change in cell function."" [GOC:bf, GOC:ceb, ISBN:0198506732]",1521,33,12,20246,0.36363636363636365,0.007889546351084813,query_1,['GO:0005515']
